Start Date,End Date,Trigger Words,Tweet Count,Tweet0,Tweet0 Timestamp,Tweet1,Tweet1 Timestamp,Tweet2,Tweet2 Timestamp,Tweet3,Tweet3 Timestamp,Tweet4,Tweet4 Timestamp,Tweet5,Tweet5 Timestamp,Tweet6,Tweet6 Timestamp,Tweet7,Tweet7 Timestamp,Tweet8,Tweet8 Timestamp,Tweet9,Tweet9 Timestamp
04/05/2019,11/05/2019,"['time', 'love', 'mother', 'teacher']",6,"""All my life I’ve been surrounded by remarkable women. And I was moved when Melinda decided to write about two of them — my mother and my grandmother — in her new book, The #MomentofLift. Happy #MotherDay to all the amazing mothers out there! https://t.co/syfEgdIz2N""",2019-05-12 14:52:00,"""2018 National Teacher of the Year @MandyRheaWrites told me about the remarkable resilience of her students. I was inspired by their stories and Mandy’s ability to connect with them: https://t.co/rMLfrtVrHv #ThankATeacher https://t.co/d7re2bbUet""",2019-05-09 16:33:00,"""I really enjoyed spending time with 2017 WA State Teacher of the Year @farmtableteach. She showed me a neat lesson that can be used to teach science and engineering to students as young as 5 years old: https://t.co/iBbGi2Iu18 #ThankATeacher https://t.co/NenWzBfdIZ""",2019-05-08 14:29:00,"""For Teacher Appreciation Week, I’ll be highlighting some of the most impactful lessons I’ve learned from educators in my home state. 2019 WA State Teacher of the Year @_MrHand showed me how he could build lesson plans that resonate with every student. #ThankATeacher https://t.co/aRYp7klSy1""",2019-05-07 21:45:00,"""No one has more insight than teachers into what makes a classroom tick, or how to reach &amp; inspire a struggling student. 

Happy #TeacherAppreciationDay, Teachers! Thank you for your unwavering belief in every student.🙌🏿🙌🏾🙌🏽

Share how a teacher has shaped your life #ThankATeacher https://t.co/fmkM7t2kHc""",2019-05-07 16:30:00,"""Melinda and I love meeting with people who are trying to change the world. Here are four of the people who inspired Melinda when she set out to write her new book, The #MomentofLift. https://t.co/SiJCanAna1""",2019-05-04 19:43:00,,,,,,,,
12/05/2019,19/05/2019,"['fight', 'death', 'mother', 'honor', 'champion', 'child', 'reward']",4,"""Together, we can achieve what @Rotary first envisioned: a world where no child will be struck with polio ever again. This weekend, I was honored to thank @RotaryRassin and other Rotarians in person for their dedication to the fight against polio. https://t.co/sYNHU7RqGS""",2019-05-19 12:21:00,"""A college degree is the surest path to a healthy, rewarding life and career. But which degrees and programs provide the greatest value to students? Our foundation CEO @SueDHellmann is co-chairing a new commission to get that data into the hands of more families. https://t.co/0lszyYXPtH""",2019-05-16 19:21:00,"""Everyone at the @gatesfoundation looks forward to days when our trustee Warren is on campus. @melindagates and I couldn’t ask for a better champion for our employees, partners, and grantees. https://t.co/t7vlrjNR6s""",2019-05-15 21:12:00,"""My mom was one of the most generous people I’ve ever known. If I grew up #WithoutMom, I wouldn’t be the man I am today. Join the fight against preventable maternal deaths so that no child grows up without a mother. https://t.co/8MaSCBW012""",2019-05-12 22:09:00,,,,,,,,,,,,
20/05/2019,27/05/2019,"['time', 'child', 'leader', 'diamond', 'fall']",4,"""Last year I recommended “Bad Blood,” which is about the rise and fall of Theranos. This year I’m recommending “Nine Pints,” another book about blood that you won’t want to put down. https://t.co/AcnsyCT9TR""",2019-05-24 17:38:00,"""I’m a big fan of everything Jared Diamond has written, and his latest book, “Upheaval,” is no exception. You can download a free chapter here: https://t.co/aeB13snhM3 https://t.co/FkapORHnpH""",2019-05-23 12:00:00,"""This #RedNoseDay, I’m swapping out my usual summer books for something a little different. Learn how you can help end child poverty, one red nose at a time: https://t.co/8z5vwVqiCB https://t.co/KM8VRG4CHY""",2019-05-22 20:31:00,"""Whether you’re a political leader or just an armchair historian, you’ll learn a lot from @BeschlossDC's book “Presidents of War.” https://t.co/YD8sOHXG9l""",2019-05-21 16:42:00,,,,,,,,,,,,
28/05/2019,04/06/2019,"['fight', 'watch', 'mother', 'diamond']",5,"""Warren and I recently picked up a @DairyQueen shift. I think I may have been a quicker study in the Blizzard department, but watch the video below and judge for yourself: https://t.co/BJc1nV4kpa https://t.co/J1NgS0EbfE""",2019-06-04 12:07:00,"""A powerful call to action from @angienguku on the eve of #WD2019. @melindagates and I are impatient for every mother to have access to high-quality maternal care. https://t.co/ZrKzfdupVx""",2019-06-03 04:20:00,"""Identifying candidates for clinical trials more quickly is essential in the fight against Alzheimer’s. That’s why I’m excited about reliable, affordable, and easy-to-use diagnostic tools like blood tests. https://t.co/pXuIUiIY4I""",2019-05-30 16:22:00,"""I recently sat down with one of my favorite authors, Jared Diamond. His perspective on political polarization really caught my attention: https://t.co/cfPHMmYgcw https://t.co/F88NEAzZLp""",2019-05-29 17:26:00,"""Breakthrough Energy Ventures – Europe will be a catalyst for innovative solutions to fight climate change. We have the resources to make a meaningful difference and the flexibility to move quickly. That’s a rare and powerful combination. https://t.co/K4j7ggRzI4""",2019-05-28 19:14:00,,,,,,,,,,
05/06/2019,12/06/2019,"['fight', 'malaria', 'hope', 'thrill', 'fear', 'friend']",3,"""I’m always amazed by the disconnect between what we see in the news and the reality of the world around us. As my late friend Hans Rosling would say, we must fight the fear instinct that distorts our perspective: https://t.co/uQRofM4q2u https://t.co/SzXDFr4clj""",2019-06-11 18:58:00,"""Thank you for being a friend, Warren: https://t.co/4hhwUvkGox #BestFriendsDay https://t.co/1hmF1WE5gC""",2019-06-08 17:49:00,"""I’m thrilled about the elimination of malaria from Algeria and Argentina. This news gives me hope that we’ll one day get rid of the disease forever. https://t.co/mizZSMgpUe""",2019-06-08 14:56:00,,,,,,,,,,,,,,
13/06/2019,20/06/2019,"['progress', 'malaria', 'love', 'good', 'fight', 'success', 'fire']",4,"""I encourage software developers, inventors, and scientists to consider how they can use their skills to fight inequity. https://t.co/bedv0SXjgs""",2019-06-18 18:08:00,"""Fighting disease is like fighting fire. It’s not enough to put out most of it — you have to get it all. @Rotary’s generous pledge to the Global Polio Eradication Initiative will help us extinguish this terrible disease for good. https://t.co/OHdVufsVrF""",2019-06-15 15:07:00,"""The fight against malaria is one of the greatest success stories in global health — but progress has slowed in recent years. To regain momentum, we must work together to combat drug and insecticide resistance. https://t.co/2vw0LMzEuX""",2019-06-14 16:33:00,"""I was moved by this story: Bob’s daughter has Down syndrome, which puts her at a higher risk for dementia. Motivated by her condition and his love of science, he volunteered for an #Alzheimers clinical trial. https://t.co/tfQScwYo2J""",2019-06-13 16:16:00,,,,,,,,,,,,
21/06/2019,28/06/2019,"['progress', 'time', 'save', 'patient', 'malaria', 'love']",5,"""My friendship with Paul Allen changed my life. I loved sharing some of my favorite stories about him (and a few old photos!) at the Forbes Philanthropy Summit yesterday: https://t.co/3i6SFNg9q4 https://t.co/t2t7yTBVie""",2019-06-28 17:14:00,"""It’s great to see such early support from Japan in re-committing to the @GlobalFund. The support of @AbeShinzo and the Japanese people will help the world #StepUpTheFight against AIDS, TB, and malaria. https://t.co/0oitm7xmA6""",2019-06-27 00:00:00,"""I’m excited about the progress we’re making toward understanding Alzheimer’s. For the first time, @MIT researchers have completed an analysis of the genes that are expressed in individual brain cells of Alzheimer’s patients. https://t.co/lluUJ0oC9u""",2019-06-25 12:05:00,"""I love talking about toilets. @NatGeo recently wrote about two that I think could change the world.
https://t.co/2Q521aLrDK""",2019-06-24 12:51:00,"""I’m excited to see such incredible leadership from @EmmanuelMacron and the people of France towards @GlobalFund. If more countries #StepUpTheFight against AIDS, TB, and malaria, we can save 16 million lives. https://t.co/n0Wdr5ScCy""",2019-06-22 04:45:00,,,,,,,,,,
29/06/2019,06/07/2019,"['progress', 'malaria', 'save', 'fight', 'thought']",4,"""I wish I had understood much earlier in my career what true inequity looks like and how to fight it. That’s why I’m inspired by the story of William Wu, an engineer who started using his tech skills to fight inequity much sooner than I did: https://t.co/qEDOk3kVEo https://t.co/WDxHCur6Ki""",2019-07-03 17:21:00,"""This is the teletype that brought Paul Allen and me together. And I’m so glad that it did. Paul was one of the most thoughtful, brilliant, and curious people I’ve ever met: https://t.co/CNw9gc5Xh7 https://t.co/pC9FIQ0kK5""",2019-07-01 14:10:00,"""More people are getting their electricity from renewable sources that ever before. Here’s how we can build on the progress we’ve made: https://t.co/ftMb24y6sd https://t.co/46kGyQP7EQ""",2019-06-30 16:21:00,"""Today’s commitment by @theresa_may to #StepUpTheFight against AIDS, TB and malaria will help save millions of lives. @GlobalFund is one of the best investments the world can make in the years ahead: https://t.co/imFw4POQzI""",2019-06-29 15:46:00,,,,,,,,,,,,
07/07/2019,14/07/2019,"['malaria', 'good', 'father']",2,"""“Fathers who help unlock their daughter’s potential, standing up for their rights and raising them to believe they have them, bring prosperity and happiness to their entire families.” I recommend reading this essay from @ZiauddinY about @Malala. #MalalaDay https://t.co/SRqQjSa4vA""",2019-07-12 16:51:00,"""Nearly one billion malaria cases have been prevented since 2000, but infection rates have plateaued or even increased in some areas. @axios explains how we can #StepUptheFight and end the disease for good. https://t.co/EKLQb8q1IH""",2019-07-11 22:31:00,,,,,,,,,,,,,,,,
15/07/2019,22/07/2019,"['progress', 'good', 'love']",3,"""I usually wait until the end of the year to share good news that you might have missed, but I couldn’t resist sharing this list from @PositiveNewsUK (check out #14!). Which story has inspired you the most so far this year? https://t.co/2fSdE0BpPF""",2019-07-21 23:52:00,"""This is something I would have loved as a kid: @MicrosoftStore is hosting a series of free Camp Know Where events across the country. If your kids love science (and @Stranger_Things), I encourage you to check them out. https://t.co/hz7LJYIq2b""",2019-07-18 16:33:00,"""Last year @GatesUS invested $92 million in networks of schools that are working together to improve student outcomes. Here’s an update on the progress we’ve made in the first year of the program – and what’s next: https://t.co/pjkgxeZq3z https://t.co/6OabhP3Pd9""",2019-07-17 22:47:00,,,,,,,,,,,,,,
23/07/2019,30/07/2019,"['time', 'fight']",3,"""10 breakthrough technologies that could help us feed the world and fight climate change at the same time. https://t.co/u8zStX4iwQ""",2019-07-29 15:00:00,"""It's hard to overstate how important finding a better diagnostic is for fighting #Alzheimers. That’s why I’m investing in new ideas for easier and more accurate diagnosis of the disease. https://t.co/WM9phNmyJo""",2019-07-29 00:00:00,"""If you read one article about climate change this week, check out this one from @voxdotcom. Government support for energy R&amp;D is one of the best opportunities to fight climate change. https://t.co/fke57WYxM3""",2019-07-26 16:18:00,,,,,,,,,,,,,,
31/07/2019,07/08/2019,"['time', 'child']",2,"""Think back to the last time you experienced a power outage. If you live in New York, you don’t have to think that far back! Now imagine what it would be like not to have access to electricity at all. Nearly one billion people face that reality every day. https://t.co/4jg2JC7EVQ""",2019-08-05 17:48:00,"""Five years ago, India was declared polio-free. This incredible milestone was made possible by the health workers, governments, partners, and donors who didn’t rest until every child was reached. I can’t wait to see what India achieves next. https://t.co/p5G2WuwPZb""",2019-08-01 17:21:00,,,,,,,,,,,,,,,,
08/08/2019,15/08/2019,"['time', 'hope', 'thrill', 'mosquito', 'teacher']",5,"""Four billion people are at risk from mosquito-borne diseases. We can get that number down to zero if we invest in new tools — like a set of techniques for genetically modifying mosquitoes — to complement the ones we already have. https://t.co/YSemQDFsw6""",2019-08-14 20:13:00,"""I learned a lot from Washington State Teacher of the Year @_MrHand about creating a classroom where kids want to be (and he taught me how to make BBQ chicken). https://t.co/V1XHZDy4GG""",2019-08-14 11:48:00,"""Melinda and I are big fans of @DonorsChoose, and we were thrilled to learn that @WKamauBell is, too. Today, when you support teachers as they prepare to go back to school, your donation will get a 50% boost from our foundation: https://t.co/Klc2UIOcnw https://t.co/fHxSjoiFPl""",2019-08-13 14:32:00,"""When teachers have the right tools, there’s no telling where it will take them. Today, when you give to @DonorsChoose, @gatesfoundation will boost your donation by 50%. I hope you’ll join us in supporting teachers. https://t.co/v8oWcwGhYF""",2019-08-13 11:30:00,"""Being poor isn’t cheap. It’s hundreds of times more expensive to use charging stations than it is to charge a phone at home. That’s just one of the hidden costs of unreliable electricity: https://t.co/1RTxaL1chd https://t.co/ymKCJo83em""",2019-08-10 15:33:00,,,,,,,,,,
16/08/2019,23/08/2019,"['fight', 'progress', 'malaria', 'save', 'teacher']",4,"""Canada’s $930 million commitment to the @GlobalFund is a big step towards saving millions of lives. Their pledge, and the commitments of other countries, are helping to #StepUpTheFight against AIDS, tuberculosis, and malaria. https://t.co/wo4aKpQQ72""",2019-08-23 21:29:00,"""If we want to give our kids the best chance possible to succeed after high school, we need more teachers like @_MrHand: https://t.co/GxtYKlRH0u https://t.co/vqEtVG8XJF""",2019-08-22 12:00:00,"""Today marks three years since Nigeria's last wild poliovirus case. This progress wouldn’t have been possible without the bravery of the young women who volunteer as polio vaccinators. https://t.co/Nmn2PoN5dv""",2019-08-21 17:14:00,"""Tomorrow is #WorldMosquitoDay, when we recognize all of our partners and grantees who are fighting against the world’s deadliest animal and the diseases it spreads: https://t.co/RlZ2PlXt7V https://t.co/aIj2I5V16h""",2019-08-20 03:04:00,,,,,,,,,,,,
24/08/2019,31/08/2019,"['malaria', 'death']",2,"""Tuberculosis is still the leading infectious cause of death worldwide. To #EndTB, we need to continue to develop safer and simpler solutions. The FDA’s approval of a new treatment is a promising step in the right direction. https://t.co/dJQapVKgjW""",2019-08-30 11:54:00,"""Germany, Italy, and the European Commission have demonstrated great leadership with their commitments to the @GlobalFund. Thank you @BMZ_Bund, @GiuseppeConteIT and @EU_Commission. Your pledges will help protect the world’s most vulnerable from #AIDS, #TB, and #malaria. https://t.co/gfu5ovysf2""",2019-08-27 08:06:00,,,,,,,,,,,,,,,,
01/09/2019,08/09/2019,"['patient', 'food']",2,"""Today, it’s difficult for researchers to diagnose #Alzheimers patients early enough to intervene. A reliable, easy and accurate diagnostic would be a game changer, and artificial intelligence could be the answer. https://t.co/M0FxOmUAX2""",2019-09-07 12:00:00,"""The fact that a quarter of the kids born on the planet don’t get the right food to develop is a mind-blowing tragedy. 

Our growing understanding of the microbiome will make this problem #solvable: https://t.co/IUI8I6EKxi https://t.co/fIf97bjwqL""",2019-09-04 16:39:00,,,,,,,,,,,,,,,,
09/09/2019,24/09/2019,"['fight', 'love', 'leader', 'watch', 'malaria', 'success', 'progress', 'hope']",10,"""The third annual #Goalkeepers19 event brings together a new generation of changemakers to accelerate progress toward the Global Goals. https://t.co/R9NJjLTn95""",2019-09-25 12:15:00,"""Sanitation is a difficult issue to take on because there are no easy solutions. Tonight we recognized the progress India has made on this issue through its Swachh Bharat program, under the leadership of @narendramodi. https://t.co/liTmmHl7ap""",2019-09-25 04:46:00,"""I had the privilege of meeting @DrElvisEze at last year’s Malaria Summit in London, and I was struck by his optimism about the fight against malaria. I think you’ll be inspired by his story. https://t.co/92006G0AtA""",2019-09-24 18:33:00,"""I’m excited to see world leaders and climate advocates coming together to make progress at the UNGA #ClimateAction Summit. Working together we can prevent the worst effects of climate change. https://t.co/AHOwRfmk0i""",2019-09-23 19:00:00,"""I’ve always loved playing tennis. Maybe this is why. See more deleted scenes from the @netflix series about my life and read exclusive stories on my blog: https://t.co/bjWwDvqQkc https://t.co/HquaH9PrBc""",2019-09-22 14:10:00,"""I am hopeful that we can substantially alter the course of Alzheimer’s disease. This World Alzheimer’s Day, join me in supporting Alzheimer’s research by watching and sharing @AlzResearchUK’s #SharetheOrange video with @SamuelLJackson. https://t.co/5Gl8hWHXtA""",2019-09-21 12:23:00,"""The docuseries about my life and work is out today. I hope you’ll check it out on @netflix — and then read some of the stories that didn’t make the cut on my blog. https://t.co/G6BfXXK93I""",2019-09-20 19:45:00,"""The new docuseries that looks at my work is out tomorrow. I hope you check it out on @netflix. I can’t wait to hear what you think: https://t.co/1UXX3xEja5. https://t.co/ZortFamUF0""",2019-09-19 23:38:00,"""Melinda and I started out ahead. But hundreds of millions of people around the world have to overcome hurdle after hurdle to be successful. Read about how advocates are working to even the odds for everyone: https://t.co/w0DQYCunTK https://t.co/NGmF01h66W""",2019-09-18 18:13:00,"""Health and education are improving everywhere in the world. But the gap between countries’ progress can be enormous. Our foundation’s 2019 Goalkeepers report examines two of the biggest factors responsible for this inequality: https://t.co/TQjcnNbu2y https://t.co/FFIkp6Crzf""",2019-09-17 21:57:00
